obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.07186046242713928,0.8556768894195557,0.1639088940674591,0.022986799478530884,0.2354428917169571,0.44828876852989197,0.5538184642791748,0.029898980632424355,0.2397768497467041,0.16060912609100342,0.6211045980453491,-0.09861736744642258,0.08426924794912338,0.6871562600135803,1000.0,2.0,-51.00581359863281,-51.00581359863281,14.62547492980957,14.62547492980957,8.610653400421143,2.0,1,2000,232.2704105012729,-0.012044058181345463,0.024021992459893227,0.5704615116119385
0.08329673856496811,0.8134762048721313,0.13433062777208762,-0.3815383315086365,0.05594460666179657,0.33221369981765747,0.5769368410110474,-0.3596917390823364,0.06323226541280746,0.3989787995815277,0.6224567294120789,-0.1889045089483261,0.19183087348937988,0.663360059261322,1000.0,4.0,-45.51978302001953,-45.51978302001953,11.867308616638184,11.867308616638184,17.022080421447754,4.0,2,4000,234.98890270545402,0.3957350552082062,0.09974999725818634,0.5863246917724609
0.09233605861663818,0.9130732417106628,0.11008992318755192,-0.649819016456604,0.05882341042160988,0.6068852543830872,0.6259481906890869,-0.6297577619552612,0.058566294610500336,0.5341113805770874,0.5991734266281128,-0.3088141083717346,0.23765695095062256,0.6606128811836243,1000.0,6.0,-42.900146484375,-42.900146484375,11.846030235290527,11.846030235290527,25.467563152313232,6.0,3,6000,235.59380079342287,0.6434276103973389,0.007243587169796228,0.4833323359489441
0.10279534757137299,0.8174116015434265,0.09769921704229322,-0.8239853382110596,0.050874002277851105,0.5090389251708984,0.729487419128418,-0.8081324100494385,0.05281268432736397,0.3577823340892792,0.7340288758277893,-0.4061737656593323,0.3346695899963379,0.6724991202354431,1000.0,8.0,-40.70950698852539,-40.70950698852539,11.361289978027344,11.361289978027344,33.898486375808716,8.0,4,8000,235.99873785836976,0.8061514496803284,0.0374709852039814,0.2054954320192337
0.0946437418460846,0.7484393119812012,0.0849947009834283,-1.0299235582351685,0.08880908787250519,0.4424816071987152,0.7894377708435059,-1.0073047876358032,0.08387231826782227,0.4188803732395172,0.7408906817436218,-0.5045092701911926,0.3715861737728119,0.683841347694397,1000.0,10.0,-39.2944221496582,-39.2944221496582,10.550718307495117,10.550718307495117,42.21839618682861,10.0,5,10000,236.86356904101964,0.9821686744689941,0.005159348715096712,0.23343317210674286
0.08710641413927078,0.7244414687156677,0.08167823703026889,-1.1597812175750732,0.12914830446243286,0.3658159077167511,0.8692975044250488,-1.136152982711792,0.1285065859556198,0.3615579605102539,0.8790141940116882,-0.5982347130775452,0.38676005601882935,0.6834416389465332,1000.0,12.0,-39.18067169189453,-39.18067169189453,10.357601165771484,10.357601165771484,50.63698649406433,12.0,6,12000,236.98092700296533,1.0951628684997559,0.0038633430376648903,0.16563735902309418
0.07414008677005768,0.7828168272972107,0.08670309447319521,-1.3236981630325317,0.11180699616670609,0.30172598361968994,0.8665831685066223,-1.3158385753631592,0.1082582026720047,0.24626459181308746,0.8320246934890747,-0.6855412125587463,0.3926995098590851,0.6900275945663452,1000.0,14.0,-40.944828033447266,-40.944828033447266,10.640789985656738,10.640789985656738,59.146183013916016,14.0,7,14000,236.70166503738807,1.2872401475906372,0.00529465451836586,0.12356910109519958
0.05237201973795891,0.8016989231109619,0.07394224246582377,-1.5721032619476318,0.09198228269815445,0.5062689185142517,0.82766193151474,-1.5450031757354736,0.08764388412237167,0.4254092872142792,0.830858588218689,-0.7756619453430176,0.38538774847984314,0.7045899629592896,1000.0,16.0,-41.555946350097656,-41.555946350097656,10.155774116516113,10.155774116516113,67.67994213104248,16.0,8,16000,236.40682152210863,1.509291172027588,0.007055244408547878,0.20597195625305176
0.06020045280456543,0.7855635285377502,0.08844582667210643,-1.6539182662963867,0.06353175640106201,0.3818909823894501,0.8887972831726074,-1.6400926113128662,0.062042176723480225,0.36805668473243713,0.8878151178359985,-0.8621049523353577,0.3984927237033844,0.7143230438232422,1000.0,18.0,-39.02290725708008,-39.02290725708008,11.961677551269531,11.961677551269531,76.10588216781616,18.0,9,18000,236.51259912222505,1.6225847005844116,0.005740259774029255,0.1514906883239746
0.04312384873628616,0.7800825834274292,0.10792071678026853,-1.710120677947998,0.07127964496612549,0.33630847930908203,0.9377807378768921,-1.6940796375274658,0.0700514167547226,0.35231754183769226,0.9128535389900208,-0.9296371340751648,0.3927558660507202,0.7390679717063904,1000.0,20.0,-37.585411071777344,-37.585411071777344,12.14079761505127,12.14079761505127,84.68708682060242,20.0,10,20000,236.1635138349624,1.6653656959533691,0.005751290358603001,0.03482075408101082
0.034037359058856964,0.7540724873542786,0.12654552784140155,-1.8057348728179932,0.09763763844966888,0.3354198634624481,0.9394597411155701,-1.7761907577514648,0.0936255007982254,0.3431533873081207,0.925952672958374,-0.9931805729866028,0.3873971402645111,0.7599290609359741,1000.0,22.0,-36.531005859375,-36.531005859375,12.046661376953125,12.046661376953125,93.17665505409241,22.0,11,22000,236.1106436717245,1.733715534210205,0.009458502754569054,0.058418482542037964
