obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.1987496316432953,0.8427374362945557,0.1639088940674591,1.047456979751587,0.8819729089736938,0.9610455632209778,0.04579717293381691,1.2895127534866333,0.8092289566993713,0.7793909907341003,0.39218851923942566,0.7265040278434753,0.25675442814826965,0.5810580849647522,35.836363636363636,55.0,0.4621019661426544,0.4621019661426544,5.417075157165527,5.417075157165527,8.872086763381958,55.0,1,2000,225.42610925026824,-1.2802084684371948,0.06666567921638489,0.600827693939209
0.21194247901439667,0.7173370122909546,0.13433062777208762,2.0931246280670166,0.8427351117134094,0.9852877259254456,0.014153607189655304,2.220874071121216,0.7418391704559326,0.8932726979255676,0.20755928754806519,1.174606442451477,0.5730688571929932,0.5495525598526001,58.43283582089552,67.0,0.7439109683036804,0.7439109683036804,5.005452632904053,5.005452632904053,17.6807861328125,67.0,2,4000,226.23428449126973,-2.001877784729004,0.04160230606794357,0.22182731330394745
0.19841161370277405,0.686800479888916,0.11686267184170265,2.721111297607422,0.7698861360549927,0.4995773136615753,0.5911043286323547,2.8307576179504395,0.7321212887763977,0.5549414753913879,0.5347933173179626,1.519278645515442,0.6474594473838806,0.5068533420562744,76.7051282051282,78.0,1.1584159135818481,1.1584159135818481,4.983072280883789,4.983072280883789,26.395410299301147,78.0,3,6000,227.31224602933554,-2.4323766231536865,0.1468154489994049,0.39583128690719604
0.1883126050233841,0.6853733658790588,0.10166619702807067,2.820016384124756,0.9988811016082764,0.743320643901825,0.5652394890785217,2.9702184200286865,0.9192927479743958,0.6633409857749939,0.6356349587440491,1.92116379737854,0.6639760136604309,0.4905602037906647,86.2,85.0,1.4794596433639526,1.4794596433639526,4.999099254608154,4.999099254608154,35.0822069644928,85.0,4,8000,228.03582477285178,-2.7837724685668945,0.055543333292007446,0.3030902147293091
0.1836862564086914,0.6333351731300354,0.09966297130484332,3.009976863861084,1.024703860282898,0.7421467304229736,0.5542079210281372,3.1061418056488037,0.9500362277030945,0.6062703728675842,0.6493634581565857,2.1707961559295654,0.6926108002662659,0.4784091114997864,109.3932584269663,89.0,2.0500094890594482,2.0500094890594482,6.093499183654785,6.093499183654785,43.84275579452515,89.0,5,10000,228.087852115554,-2.9532899856567383,0.0639096274971962,0.2293393462896347
0.18050341308116913,0.6553558111190796,0.10166619702807067,3.0743579864501953,1.018722414970398,0.6650463938713074,0.6809895038604736,3.205329418182373,0.9550064206123352,0.6641373634338379,0.6720682978630066,2.3696749210357666,0.711243212223053,0.4668051302433014,119.27,100.0,2.4889423847198486,2.4889423847198486,5.974161624908447,5.974161624908447,52.6688916683197,100.0,6,12000,227.83847580407678,-3.167414903640747,0.06791351735591888,0.135536789894104
0.16294075548648834,0.7185526490211487,0.10792071678026853,3.1340675354003906,1.23197340965271,0.6745845675468445,0.6607353091239929,3.221616744995117,1.1701606512069702,0.5647202730178833,0.7209292650222778,2.627136707305908,0.7207099795341492,0.4623393416404724,122.23148148148148,108.0,2.813520908355713,2.888303756713867,5.8047051429748535,5.902741432189941,61.40529727935791,108.0,7,14000,227.99335920984555,-3.2306649684906006,0.08177993446588516,0.3194899260997772
0.14501060545444489,0.7200722694396973,0.11230273064362171,3.123286724090576,1.2717812061309814,0.712094247341156,0.6026386022567749,3.210118532180786,1.191023826599121,0.6982831954956055,0.6673659086227417,2.764084815979004,0.7324232459068298,0.45878878235816956,139.359649122807,114.0,3.321786403656006,3.6735305786132812,6.503050327301025,6.447864055633545,70.17035841941833,114.0,8,16000,228.0165066902708,-3.2146549224853516,0.07325629889965057,0.14639994502067566
0.1280946284532547,0.7898502349853516,0.10792071678026853,3.183990001678467,1.2843483686447144,0.7481511235237122,0.5693619251251221,3.284532070159912,1.227987289428711,0.6740537285804749,0.614823579788208,2.817699432373047,0.7402358651161194,0.45787861943244934,134.90625,128.0,3.3279128074645996,4.29081916809082,6.338454246520996,6.178074359893799,78.7980694770813,128.0,9,18000,228.43199229944796,-3.2278027534484863,0.05943268910050392,0.18764321506023407
0.10618510097265244,0.7863139510154724,0.10370968758833489,3.3353283405303955,1.3876426219940186,0.7510814666748047,0.5551967620849609,3.458153247833252,1.3235278129577637,0.6911670565605164,0.646970808506012,2.853661298751831,0.7521253228187561,0.4493151307106018,148.21212121212122,132.0,3.6925506591796875,4.919713973999023,6.868382930755615,6.61946439743042,87.37450671195984,132.0,10,20000,228.89971860936865,-3.27420711517334,0.057790607213974,0.13814206421375275
