EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
50.0,-0.62344986,21,13025,1421.6769535541534,651250,-0.0,-3.5661047,0.9823542758822441,0.010322735,0.03152935,0.03152935
50.0,-0.5727929,20,13045,1423.9174275398254,652250,-0.0,-3.5676036,0.9829791393131018,0.011105659,0.03770636,0.03770636
50.0,-0.46070352,21,13066,1426.1617431640625,653300,-0.0,-3.5707586,0.9831485040485859,0.010062467,0.036011487,0.036011487
50.0,-0.52340853,20,13086,1428.3873436450958,654300,-0.0,-3.5675547,0.9731573779135942,0.0100764,0.04530167,0.04530167
50.0,-0.6021894,21,13107,1430.6355946063995,655350,-0.0,-3.5690188,0.9836724419146776,0.010109952,0.037046634,0.037046634
50.0,-0.584459,20,13127,1432.8911559581757,656350,-0.0,-3.5699458,0.9807749856263399,0.009923662,0.031884577,0.031884577
50.0,-0.6525506,21,13148,1435.0291540622711,657400,-0.0,-3.5762134,0.967679351568222,0.01082495,0.033790883,0.033790883
50.0,-0.6585329,20,13168,1437.2611947059631,658400,-0.0,-3.577957,0.9702886808663607,0.009987669,0.036870815,0.036870815
50.0,-0.613701,21,13189,1439.5142781734467,659450,-0.0,-3.5785766,0.9781797006726265,0.009997198,0.030959459,0.030959459
50.0,-0.7094757,20,13209,1441.7399570941925,660450,-0.0,-3.580158,0.9730350896716118,0.010292896,0.042356595,0.042356595
50.0,-0.6599349,21,13230,1443.955387353897,661500,-0.0,-3.5874324,0.9510230906307697,0.010210153,0.030551378,0.030551378
50.0,-0.5707714,20,13250,1446.150804758072,662500,-0.0,-3.5859623,0.9881252096965909,0.009775683,0.05712741,0.05712741
50.0,-0.56771195,21,13271,1448.406576871872,663550,-0.0,-3.582857,0.9780013486742973,0.009832827,0.041147105,0.041147105
50.0,-0.56756777,20,13291,1450.5956530570984,664550,-0.0,-3.584942,0.9748308900743723,0.009946723,0.03256175,0.03256175
50.0,-0.5850504,21,13312,1452.7908749580383,665600,-0.0,-3.5836198,0.9724323954433203,0.0099800415,0.034896426,0.034896426
50.0,-0.56474847,20,13332,1454.9332191944122,666600,-0.0,-3.5856194,0.9744670372456312,0.010337112,0.045760833,0.045760833
50.0,-0.5581981,20,13352,1457.06352186203,667600,-0.0,-3.5857334,0.9753636904060841,0.011258376,0.033857092,0.033857092
50.0,-0.5359186,21,13373,1459.2854070663452,668650,-0.0,-3.5892465,0.9844277761876583,0.010214348,0.036223628,0.036223628
50.0,-0.56757385,20,13393,1461.5344376564026,669650,-0.0,-3.58864,0.9531382620334625,0.010034928,0.02385234,0.02385234
50.0,-0.54144573,21,13414,1463.78373670578,670700,-0.0,-3.5896726,0.9594459161162376,0.009775812,0.037397906,0.037397906
50.0,-0.642206,20,13434,1466.0156111717224,671700,-0.0,-3.5871081,0.9554511867463589,0.0106325,0.055366717,0.055366717
50.0,-0.6842058,21,13455,1468.2099730968475,672750,-0.0,-3.5891955,0.9488682560622692,0.011152327,0.030623619,0.030623619
50.0,-0.58934736,20,13475,1470.380199432373,673750,-0.0,-3.5878851,0.985295357182622,0.009698949,0.03965182,0.03965182
50.0,-0.5835382,21,13496,1472.557775735855,674800,-0.0,-3.5913548,0.9823742210865021,0.010137787,0.034755092,0.034755092
50.0,-0.59534705,20,13516,1474.7494428157806,675800,-0.0,-3.5905492,0.9852668922394514,0.009927383,0.03738354,0.03738354
50.0,-0.6221204,21,13537,1476.9130189418793,676850,-0.0,-3.5944345,0.9819774013012648,0.010596535,0.040257588,0.040257588
50.0,-0.59229726,20,13557,1479.1283855438232,677850,-0.0,-3.5965598,0.967991303652525,0.010591073,0.03779848,0.03779848
50.0,-0.62452686,21,13578,1481.3284890651703,678900,-0.0,-3.5993247,0.9788551144301891,0.010146323,0.041145705,0.041145705
50.0,-0.606938,20,13598,1483.474468946457,679900,-0.0,-3.598688,0.9634037762880325,0.009893062,0.058587186,0.058587186
50.0,-0.59528744,21,13619,1485.6542530059814,680950,-0.0,-3.6006715,0.9833856467157602,0.0099451225,0.03123111,0.03123111
50.0,-0.6499895,20,13639,1487.839682817459,681950,-0.0,-3.60421,0.9763292334973812,0.010784925,0.045513265,0.045513265
50.0,-0.65722626,21,13660,1490.0369129180908,683000,-0.0,-3.6050477,0.9824521467089653,0.010916921,0.030770825,0.030770825
50.0,-0.6005222,20,13680,1492.244281053543,684000,-0.0,-3.6056921,0.9909207159653306,0.010228609,0.09552917,0.09552917
50.0,-0.5996423,21,13701,1494.4019289016724,685050,-0.0,-3.6069493,0.9741157125681639,0.010071658,0.03372731,0.03372731
