epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
61,0.87581235,0.08497044,0.2628165,0.03037334,620.0,-0.053915594,1.0,620.0,0.7083333
62,0.8758437,0.084985554,0.2628278,0.030377885,630.0,-0.07366471,1.0,630.0,0.7583334
63,0.8759206,0.085033216,0.26284486,0.030391842,640.0,-0.07608038,1.0,640.0,0.78333336
64,0.87590045,0.085037015,0.26283866,0.030394236,650.0,-0.06516248,1.0,650.0,0.77500004
65,0.87590533,0.085049875,0.26283777,0.03039743,660.0,-0.034631822,1.0,660.0,0.76666665
66,0.87593776,0.08509532,0.2628447,0.030411998,670.0,-0.07269975,1.0,670.0,0.75833327
67,0.87597865,0.08508646,0.26285505,0.030409956,680.0,-0.052868176,1.0,680.0,0.7
68,0.87588835,0.085120946,0.2628308,0.030418202,690.0,-0.06477485,1.0,690.0,0.80833334
69,0.8760374,0.08514723,0.26286882,0.030424997,700.0,-0.06302339,1.0,700.0,0.7583334
70,0.8760956,0.08513871,0.26288334,0.03042305,710.0,-0.050327435,1.0,710.0,0.7666667
71,0.8760614,0.085169375,0.26287287,0.03043215,720.0,-0.06560787,1.0,720.0,0.7416666
72,0.87604696,0.08520425,0.26287255,0.03044059,730.0,-0.04199314,1.0,730.0,0.6666667
73,0.8760677,0.0852275,0.26287484,0.030446803,740.0,-0.0953922,1.0,740.0,0.7416666
74,0.8760877,0.0852615,0.26288015,0.030456772,750.0,-0.05463149,1.0,750.0,0.7583334
75,0.875983,0.085261166,0.26285136,0.03045485,760.0,-0.05900393,1.0,760.0,0.7749999
76,0.8759136,0.08523885,0.2628325,0.030448025,770.0,-0.049028445,1.0,770.0,0.75
77,0.87585443,0.085276105,0.26281533,0.030456657,780.0,-0.06157219,1.0,780.0,0.6416667
78,0.8758901,0.0852901,0.26282308,0.030460075,790.0,-0.04571272,1.0,790.0,0.77500004
79,0.87586564,0.085247874,0.2628178,0.030447165,800.0,-0.061741125,1.0,800.0,0.72499996
80,0.8759511,0.085243635,0.26284045,0.030447235,810.0,-0.041677523,1.0,810.0,0.7416666
81,0.8759425,0.085247636,0.26283655,0.030446833,820.0,-0.06048735,1.0,820.0,0.6666667
82,0.8758715,0.08523897,0.2628208,0.03044507,830.0,-0.03908192,1.0,830.0,0.73333335
83,0.87577516,0.085257225,0.26279554,0.030449903,840.0,-0.06457497,1.0,840.0,0.7083333
84,0.87582606,0.08524623,0.26280922,0.03044706,850.0,-0.057406604,1.0,850.0,0.7583334
85,0.8758605,0.085243635,0.2628203,0.030449351,860.0,-0.0718682,1.0,860.0,0.7749999
86,0.87576747,0.08524785,0.2627953,0.030448094,870.0,-0.05570362,1.0,870.0,0.73333335
87,0.8757415,0.08523912,0.26278853,0.03044878,880.0,-0.050868083,1.0,880.0,0.77500004
88,0.87575704,0.085250534,0.26279095,0.03045085,890.0,-0.06082399,1.0,890.0,0.7916667
89,0.87564033,0.08522687,0.262759,0.030443078,900.0,-0.055178676,1.0,900.0,0.7416666
90,0.8756369,0.0852628,0.26275775,0.030452127,910.0,-0.047769472,1.0,910.0,0.69166666
91,0.87552404,0.08524695,0.26272717,0.030449694,920.0,-0.055979293,1.0,920.0,0.68333334
92,0.8755055,0.08529299,0.2627203,0.03046613,930.0,-0.058954578,1.0,930.0,0.7583334
93,0.87551004,0.085303165,0.2627203,0.030469919,940.0,-0.10235699,0.9583333,940.0,0.7166667
94,0.8754708,0.08531091,0.26270935,0.030471837,950.0,-0.06411582,1.0,950.0,0.675
95,0.87544614,0.08528676,0.26270297,0.030462598,960.0,-0.05820839,1.0,960.0,0.7833333
96,0.875401,0.08530865,0.26268974,0.030469662,970.0,-0.070446156,1.0,970.0,0.7416666
97,0.8753454,0.08529407,0.2626763,0.030464143,980.0,-0.06640165,1.0,980.0,0.72499996
98,0.8752926,0.08529995,0.26266485,0.030464893,990.0,-0.06788535,1.0,990.0,0.72499996
99,0.87537986,0.08530452,0.26268715,0.030466354,1000.0,-0.05429216,1.0,1000.0,0.8
100,0.8754143,0.08532388,0.2626961,0.030471385,1010.0,-0.055451196,1.0,1010.0,0.7416666
101,0.87539464,0.08534688,0.26268697,0.030478021,1020.0,-0.062343765,1.0,1020.0,0.7083333
102,0.8753615,0.08534932,0.26267627,0.03047941,1030.0,-0.057840835,1.0,1030.0,0.6833334
103,0.8753185,0.08536011,0.26266518,0.03048259,1040.0,-0.033765066,1.0,1040.0,0.7166667
104,0.8753786,0.08536333,0.26268,0.030483127,1050.0,-0.07219019,1.0,1050.0,0.7333333
105,0.87538725,0.08535322,0.2626823,0.030480152,1060.0,-0.047383975,1.0,1060.0,0.7083333
106,0.87534314,0.08535024,0.26267105,0.030478021,1070.0,-0.06826607,0.97499996,1070.0,0.7416666
107,0.875305,0.08535846,0.26266137,0.030481225,1080.0,-0.065643154,1.0,1080.0,0.72499996
108,0.8752764,0.08532711,0.26265195,0.030470664,1090.0,-0.03492565,1.0,1090.0,0.72499996
109,0.8752732,0.08536675,0.26265186,0.030478561,1100.0,-0.07126268,1.0,1100.0,0.625
110,0.87526387,0.08536184,0.26264873,0.030473689,1110.0,-0.048570182,1.0,1110.0,0.69166666
111,0.8752811,0.0853706,0.26264998,0.030475045,1120.0,-0.06794423,1.0,1120.0,0.7083333
112,0.87527066,0.0853641,0.26264733,0.030472184,1130.0,-0.052126896,1.0,1130.0,0.7583334
113,0.8753004,0.08533961,0.26265568,0.030464664,1140.0,-0.0517479,1.0,1140.0,0.6666667
114,0.8753001,0.08535724,0.2626546,0.030469129,1150.0,-0.039580245,1.0,1150.0,0.7916667
115,0.87530655,0.08534551,0.26265618,0.030466398,1160.0,-0.049351227,1.0,1160.0,0.6166667
116,0.87536144,0.08536267,0.262672,0.030472627,1170.0,-0.094836414,0.98333335,1170.0,0.74166673
117,0.87537575,0.08536408,0.2626775,0.030473262,1180.0,-0.048618007,1.0,1180.0,0.675
118,0.87530136,0.085357875,0.26265833,0.030470097,1190.0,-0.047327574,1.0,1190.0,0.71666664
119,0.8753492,0.08535788,0.2626694,0.030468648,1200.0,-0.07420931,1.0,1200.0,0.73333335
120,0.8753834,0.08534745,0.26267824,0.03046599,1210.0,-0.06306259,1.0,1210.0,0.72499996
121,0.87537354,0.08537787,0.26267436,0.03047278,1220.0,-0.054671273,1.0,1220.0,0.72499996
122,0.8753064,0.085390486,0.26265845,0.030474195,1230.0,-0.077022545,1.0,1230.0,0.73333335
123,0.87531644,0.08537507,0.26266277,0.030468067,1240.0,-0.062628016,1.0,1240.0,0.6666667
124,0.8753455,0.085370325,0.26266953,0.0304675,1250.0,-0.068116896,1.0,1250.0,0.75
125,0.8754041,0.085357584,0.26268423,0.03046214,1260.0,-0.044073105,1.0,1260.0,0.6583333
126,0.87534827,0.085353464,0.26266932,0.030459488,1270.0,-0.060056288,1.0,1270.0,0.6666667
127,0.87533456,0.085366875,0.26266775,0.03046389,1280.0,-0.07112952,1.0,1280.0,0.72499996
128,0.8752983,0.08536961,0.2626579,0.030463824,1290.0,-0.06258017,1.0,1290.0,0.74166673
129,0.8752878,0.08538019,0.26265487,0.030466398,1300.0,-0.06350056,1.0,1300.0,0.7166667
130,0.8752969,0.085390486,0.26265568,0.030471018,1310.0,-0.049446717,1.0,1310.0,0.71666664
131,0.87531203,0.085402034,0.2626599,0.03047356,1320.0,-0.061268825,1.0,1320.0,0.7416666
132,0.8753521,0.085369386,0.2626694,0.030465329,1330.0,-0.06300859,1.0,1330.0,0.7166667
133,0.8753576,0.08535636,0.26267037,0.030462498,1340.0,-0.07204672,1.0,1340.0,0.6666667
134,0.8753267,0.08532808,0.26266167,0.03045555,1350.0,-0.07194709,1.0,1350.0,0.7583334
