# {"t_start": 1619424689.3036695, "env_id": "InvertedPendulum-v2"} 
r,l,t
16.0,16,6.582485
9.0,9,6.604067
3.0,3,6.611064
15.0,15,6.644484
5.0,5,6.657871
15.0,15,6.68862
5.0,5,6.697913
9.0,9,6.719734
11.0,11,6.746794
9.0,9,6.767076
12.0,12,6.792282
12.0,12,6.809873
14.0,14,6.830697
10.0,10,6.845529
5.0,5,6.85287
5.0,5,6.860005
12.0,12,6.881867
6.0,6,6.895299
3.0,3,6.901881
11.0,11,6.929594
9.0,9,6.952413
7.0,7,6.96501
7.0,7,6.979363
7.0,7,6.990734
17.0,17,7.016185
8.0,8,7.028208
10.0,10,7.042874
7.0,7,7.05283
7.0,7,7.063901
5.0,5,7.075077
5.0,5,7.085573
4.0,4,7.093882
12.0,12,7.118484
4.0,4,7.126889
4.0,4,7.136744
4.0,4,7.145452
5.0,5,7.155577
9.0,9,7.172405
4.0,4,7.182757
5.0,5,7.193539
6.0,6,7.206919
6.0,6,7.466023
22.0,22,7.507793
7.0,7,7.519174
17.0,17,7.54586
24.0,24,7.581137
32.0,32,7.630194
3.0,3,7.634661
6.0,6,7.649018
8.0,8,7.667249
13.0,13,7.693763
6.0,6,7.702543
5.0,5,7.709933
4.0,4,7.715748
4.0,4,7.721733
6.0,6,7.730374
4.0,4,7.7362
5.0,5,7.743742
4.0,4,7.74975
5.0,5,7.757
10.0,10,7.776321
5.0,5,7.789447
4.0,4,7.799787
6.0,6,7.813856
4.0,4,7.823312
5.0,5,7.835956
8.0,8,7.85475
12.0,12,7.882655
3.0,3,7.890057
9.0,9,7.910547
9.0,9,7.931213
20.0,20,7.978258
10.0,10,8.001767
12.0,12,8.029212
5.0,5,8.040373
5.0,5,8.052337
5.0,5,8.063898
8.0,8,8.082184
11.0,11,8.106855
12.0,12,8.133402
6.0,6,8.147639
8.0,8,8.164752
11.0,11,8.185084
7.0,7,8.195573
8.0,8,8.207626
5.0,5,8.21506
5.0,5,8.222648
7.0,7,8.233438
11.0,11,8.252761
21.0,21,8.284734
9.0,9,8.301358
17.0,17,8.328981
7.0,7,8.33908
8.0,8,8.350897
8.0,8,8.362859
9.0,9,8.37792
5.0,5,8.387022
6.0,6,8.396203
12.0,12,8.417133
10.0,10,8.433838
6.0,6,8.446295
3.0,3,8.452264
5.0,5,8.462082
8.0,8,8.479156
4.0,4,8.487583
5.0,5,8.498091
5.0,5,8.510083
7.0,7,8.524997
6.0,6,8.537763
11.0,11,8.560647
4.0,4,8.569314
6.0,6,8.581851
8.0,8,8.598728
5.0,5,8.608846
11.0,11,8.631778
8.0,8,8.649074
17.0,17,8.68492
4.0,4,8.693555
18.0,18,8.731817
8.0,8,8.748749
7.0,7,8.763711
3.0,3,8.769936
11.0,11,8.793967
18.0,18,8.833326
6.0,6,8.846179
7.0,7,8.861374
12.0,12,8.889632
18.0,18,8.926445
5.0,5,8.937195
5.0,5,8.947363
8.0,8,8.964119
8.0,8,8.983546
6.0,6,8.99569
7.0,7,9.010588
7.0,7,9.025257
4.0,4,9.033567
10.0,10,9.054505
4.0,4,9.062823
8.0,8,9.079371
6.0,6,9.092064
4.0,4,9.101907
7.0,7,9.117215
5.0,5,9.129567
3.0,3,9.136098
8.0,8,9.153465
10.0,10,9.177066
3.0,3,9.184036
18.0,18,9.224375
15.0,15,9.256771
13.0,13,9.284816
8.0,8,9.302947
8.0,8,9.320553
6.0,6,9.333372
6.0,6,9.346665
4.0,4,9.35557
8.0,8,9.37327
10.0,10,9.395042
14.0,14,9.425568
16.0,16,9.462576
10.0,10,9.480594
7.0,7,9.491154
4.0,4,9.497146
7.0,7,9.507721
4.0,4,9.513755
6.0,6,9.522682
6.0,6,9.531589
8.0,8,9.543738
7.0,7,9.554353
15.0,15,9.581825
13.0,13,9.602644
18.0,18,9.630885
8.0,8,9.643606
12.0,12,9.662195
7.0,7,9.674728
4.0,4,9.681829
6.0,6,9.691187
7.0,7,9.70201
8.0,8,9.714957
10.0,10,9.730892
