# {"t_start": 1619422595.4469855, "env_id": "InvertedPendulum-v2"} 
r,l,t
8.0,8,7.202085
6.0,6,7.214503
9.0,9,7.232658
18.0,18,7.267953
11.0,11,7.289926
11.0,11,7.31198
8.0,8,7.328237
19.0,19,7.365787
11.0,11,7.387909
6.0,6,7.400283
9.0,9,7.418518
10.0,10,7.438634
15.0,15,7.468438
8.0,8,7.484688
34.0,34,7.551311
14.0,14,7.578783
4.0,4,7.587315
4.0,4,7.595872
5.0,5,7.60624
6.0,6,7.6197
11.0,11,7.641559
26.0,26,7.691524
20.0,20,7.73034
5.0,5,7.740649
32.0,32,7.802598
7.0,7,7.817877
29.0,29,7.875883
20.0,20,8.064971
7.0,7,8.08055
4.0,4,8.089174
19.0,19,8.126328
9.0,9,8.144145
36.0,36,8.214256
28.0,28,8.269898
19.0,19,8.307225
9.0,9,8.325486
43.0,43,8.409727
8.0,8,8.426016
8.0,8,8.442364
20.0,20,8.481504
36.0,36,8.555475
11.0,11,8.577604
25.0,25,8.626544
4.0,4,8.635942
11.0,11,8.658728
13.0,13,8.684689
5.0,5,8.695302
8.0,8,8.711658
22.0,22,8.755483
6.0,6,8.768413
12.0,12,8.793523
34.0,34,8.862307
12.0,12,8.887268
7.0,7,8.901592
4.0,4,8.910266
21.0,21,8.953268
12.0,12,8.977102
3.0,3,8.983734
11.0,11,9.005701
29.0,29,9.064683
6.0,6,9.077161
5.0,5,9.087559
23.0,23,9.132974
4.0,4,9.141462
37.0,37,9.216351
7.0,7,9.231011
21.0,21,9.273143
14.0,14,9.301342
22.0,22,9.34579
5.0,5,9.356383
22.0,22,9.400265
5.0,5,9.411007
20.0,20,9.452236
22.0,22,9.495404
7.0,7,9.50973
26.0,26,9.562309
17.0,17,9.596025
46.0,46,9.685896
8.0,8,9.702404
15.0,15,9.733425
13.0,13,9.759989
28.0,28,9.816803
13.0,13,9.843117
14.0,14,9.871607
10.0,10,9.892102
27.0,27,9.944175
28.0,28,9.99737
13.0,13,10.022752
10.0,10,10.042427
7.0,7,10.05665
4.0,4,10.066361
15.0,15,10.097761
62.0,62,10.370239
19.0,19,10.408198
10.0,10,10.428799
49.0,49,10.524581
27.0,27,10.57823
15.0,15,10.608488
36.0,36,10.679021
29.0,29,10.735915
11.0,11,10.758337
19.0,19,10.79593
20.0,20,10.835125
11.0,11,10.856597
14.0,14,10.883646
36.0,36,10.954164
30.0,30,11.011737
21.0,21,11.052453
